ProblemName,T_default,T_farkasdiving,N_default,N_farkasdiving,DivingSolsMax_default,DivingSolsMax_farkasdiving,FDSols_default,FDSols_farkasdiving,DivingBestSolsMax_default,DivingBestSolsMax_farkasdiving,FDBestSols_default,FDBestSols_farkasdiving,DivingConfsMax_default,DivingConfsMax_farkasdiving,FDConfs_default,FDConfs_farkasdiving,TQ+1_default,TQ+1_farkasdiving,NQ+100_default,NQ+100_farkasdiving
disctom,5.49,5.44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.992295839753467,1,1
disctom,5.88,5.86,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.997093023255814,1,1
disctom,4.75,4.71,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99304347826087,1,1
disctom,7.43,7.42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.998813760379597,1,1
ds,7200,7200,826,1190,54,37,0,19,2,4,0,0,26,17,0,0,1,1,1,1.39308855291577
ds,7200,7200,1239,1203,56,67,0,66,4,2,0,2,25,0,0,0,1,1,1,0.9731142643764
ds,7200,7200,1101,740,59,30,0,20,3,3,0,0,19,10,0,10,1,1,1,0.699417152373022
ds,7200,7200,917,636,41,25,0,23,2,1,0,0,16,89,0,89,1,1,1,0.72369714847591
dsbmip,1.56,1.61,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1.01953125,1,1
dsbmip,1.24,1.25,27,27,1,1,0,0,1,1,0,0,0,0,0,0,1,1.00446428571429,1,1
dsbmip,1.39,1.39,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
dsbmip,1.66,1.66,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
egout,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,1
egout,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,1
egout,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,1
egout,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,1
eil33-2,76.61,62.38,653,603,0,0,0,2,0,1,0,1,0,0,0,0,1,0.816647339260405,1,0.933598937583001
eil33-2,66.79,81.77,665,741,0,0,0,2,0,1,0,1,0,0,0,0,1,1.22097654521316,1,1.09934640522876
eil33-2,75.19,64.87,677,517,0,0,0,1,0,1,0,1,0,0,0,0,1,0.864549153432209,1,0.794079794079794
eil33-2,80.46,63.02,629,603,0,0,0,2,0,1,0,1,0,0,0,0,1,0.785907193714707,1,0.964334705075446
eilB101,466.6,327.23,13787,9255,4,0,0,5,0,1,0,1,13,8,0,8,1,0.701946107784431,1,0.67365161661986
