ProblemName,T_coefdiving,T_conflictdiving-no-coefdiving,T_no-coefdiving,N_coefdiving,N_conflictdiving-no-coefdiving,N_no-coefdiving,CoefSols_coefdiving,CoefSols_conflictdiving-no-coefdiving,CoefSols_no-coefdiving,ConfSols_coefdiving,ConfSols_conflictdiving-no-coefdiving,ConfSols_no-coefdiving,CoefBestSols_coefdiving,CoefBestSols_conflictdiving-no-coefdiving,CoefBestSols_no-coefdiving,ConfBestSols_coefdiving,ConfBestSols_conflictdiving-no-coefdiving,ConfBestSols_no-coefdiving,CoefConfs_coefdiving,CoefConfs_conflictdiving-no-coefdiving,CoefConfs_no-coefdiving,ConfConfs_coefdiving,ConfConfs_conflictdiving-no-coefdiving,ConfConfs_no-coefdiving,CoefAvgDepth_coefdiving,CoefAvgDepth_conflictdiving-no-coefdiving,CoefAvgDepth_no-coefdiving,ConfAvgDepth_coefdiving,ConfAvgDepth_conflictdiving-no-coefdiving,ConfAvgDepth_no-coefdiving,TQ+1_coefdiving,TQ+1_conflictdiving-no-coefdiving,TQ+1_no-coefdiving,NQ+100_coefdiving,NQ+100_conflictdiving-no-coefdiving,NQ+100_no-coefdiving
bc,1130.25,1075.34,1557.52,13103,13099,19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58.1,0,0,0,47.5,0,0.725848882272926,0.690616738957472,1,0.663567371965623,0.663366336633663,1
bc1,298.12,242.23,200.48,3870,3086,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,44,0,1.48461385745483,1.20721659718086,1,2.82965074839629,2.27084818246614,1
bc1,267.06,325.12,304.72,4006,5000,4540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,36.3,0,0.876815386628287,1.06672772471543,1,0.884913793103448,1.09913793103448,1
bc1,235.19,229.21,234.86,1600,1290,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,0,0,50,0,1.00139913508013,0.976045111506826,1,1.04294478527607,0.852760736196319,1
bc1,245.11,285.97,258.95,3422,4610,3516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,64,0,0.946758992113868,1.10394306597423,1,0.974004424778761,1.30254424778761,1
beasleyC3,58.56,57.63,59.06,378,378,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,88,0,0.991674991674992,0.976190476190476,1,1.16301703163017,1.16301703163017,1
beasleyC3,68.29,43.34,56.94,515,11,206,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,117,0,0,0,0,0,1.19589230238177,0.765274421815672,1,2.00980392156863,0.362745098039216,1
beasleyC3,56.04,57,54.2,170,170,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03333333333333,1.05072463768116,1,0.461538461538462,0.461538461538462,1
beasleyC3,21.42,21.95,21.88,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979895104895105,1.00305944055944,1,1,1,1
bell3a,1.36,1.23,1.96,2445,1693,3548,15,0,0,0,15,0,0,0,0,0,0,0,16,0,0,0,3,0,18.1,0,0,0,15.3,0,0.797297297297297,0.753378378378378,1,0.697642543859649,0.491502192982456,1
bell3a,0.94,1.41,1.4,2184,3565,3440,12,0,0,0,12,0,0,0,0,0,0,0,21,0,0,0,19,0,18.7,0,0,0,18.2,0,0.808333333333333,1.00416666666667,1,0.645197740112994,1.03531073446328,1
bell3a,1.29,0.99,1.86,3116,2001,4949,15,0,0,0,17,0,0,0,0,0,0,0,16,0,0,0,9,0,17.9,0,0,0,16.5,0,0.800699300699301,0.695804195804196,1,0.636957813428402,0.416122004357298,1
bell3a,1.21,1.52,1.78,2720,4083,4568,15,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,7,0,16.6,0,0,0,17.2,0,0.794964028776978,0.906474820143885,1,0.604113110539846,0.896101113967438,1
bell5,1.04,0.92,0.57,444,412,415,11,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,11,0,11.7,0,0,0,11.5,0,1.29936305732484,1.22292993630573,1,1.05631067961165,0.994174757281553,1
bell5,0.5,0.5,0.55,339,339,511,8,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,2,0,11.8,0,0,0,11.5,0,0.967741935483871,0.967741935483871,1,0.718494271685761,0.718494271685761,1
bell5,0.5,0.5,0.5,196,198,206,6,0,0,0,10,0,0,0,0,0,0,0,13,0,0,0,6,0,13.8,0,0,0,13.8,0,1,1,1,0.967320261437908,0.973856209150327,1
bell5,0.57,0.54,0.59,451,435,410,11,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,14,0,11.3,0,0,0,12,0,0.987421383647799,0.968553459119497,1,1.08039215686275,1.04901960784314,1
biella1,1566.03,1624.05,1178.25,8151,5962,4348,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,310.1,0,0,0,267,0,1.3288361246555,1.37803688785245,1,1.85499100719424,1.36285971223022,1
biella1,1246.39,572.97,1283.74,5954,1563,3033,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,24,0,205.8,0,0,0,127.6,0,0.970927969861606,0.44675965565017,1,1.93233322693904,0.53080114905841,1
biella1,997.2,759.17,634.37,1975,2159,1580,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,195.8,0,0,0,229.8,0,1.57105308717755,1.19642098304925,1,1.23511904761905,1.34464285714286,1
